"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Expenditure on In-House Research and Development","2017","Foreign ownership","South East","Euro Million","80"
"Total Expenditure on In-House Research and Development","2017","Foreign ownership","South West","Euro Million","273"
"Total Expenditure on In-House Research and Development","2017","Foreign ownership","Dublin","Euro Million","1317"
"Total Expenditure on In-House Research and Development","2017","Foreign ownership","Mid East","Euro Million","141"
"Total Expenditure on In-House Research and Development","2017","Foreign ownership","Midlands","Euro Million","85"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","Ireland","Euro Million","3528"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","Border","Euro Million","129"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","West","Euro Million","418"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","Mid West","Euro Million","299"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","South East","Euro Million","130"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","South West","Euro Million","338"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","Dublin","Euro Million","1900"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","Mid East","Euro Million","209"
"Total Expenditure on In-House Research and Development","2018","All Enterprise ownership","Midlands","Euro Million","107"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","Ireland","Euro Million","722"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","Border","Euro Million","47"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","West","Euro Million","55"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","Mid West","Euro Million","51"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","South East","Euro Million","34"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","South West","Euro Million","80"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","Dublin","Euro Million","356"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","Mid East","Euro Million","82"
"Total Expenditure on In-House Research and Development","2018","Irish ownership","Midlands","Euro Million","16"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","Ireland","Euro Million","2806"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","Border","Euro Million","83"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","West","Euro Million","363"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","Mid West","Euro Million","247"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","South East","Euro Million","95"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","South West","Euro Million","258"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","Dublin","Euro Million","1544"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","Mid East","Euro Million","126"
"Total Expenditure on In-House Research and Development","2018","Foreign ownership","Midlands","Euro Million","90"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","Ireland","Euro Million","4157"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","Border","Euro Million","133"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","West","Euro Million","399"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","Mid West","Euro Million","379"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","South East","Euro Million","156"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","South West","Euro Million","379"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","Dublin","Euro Million","2371"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","Mid East","Euro Million","229"
"Total Expenditure on In-House Research and Development","2019","All Enterprise ownership","Midlands","Euro Million","112"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","Ireland","Euro Million","799"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","Border","Euro Million","50"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","West","Euro Million","57"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","Mid West","Euro Million","53"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","South East","Euro Million","39"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","South West","Euro Million","89"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","Dublin","Euro Million","393"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","Mid East","Euro Million","102"
"Total Expenditure on In-House Research and Development","2019","Irish ownership","Midlands","Euro Million","16"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","Ireland","Euro Million","3357"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","Border","Euro Million","82"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","West","Euro Million","342"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","Mid West","Euro Million","326"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","South East","Euro Million","117"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","South West","Euro Million","289"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","Dublin","Euro Million","1978"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","Mid East","Euro Million","127"
"Total Expenditure on In-House Research and Development","2019","Foreign ownership","Midlands","Euro Million","96"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","Ireland","Euro Million","5444"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","Border","Euro Million","147"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","West","Euro Million","453"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","Mid West","Euro Million","508"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","South East","Euro Million","137"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","South West","Euro Million","448"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","Dublin","Euro Million","2669"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","Mid East","Euro Million","956"
"Total Expenditure on In-House Research and Development","2020","All Enterprise ownership","Midlands","Euro Million","126"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","Ireland","Euro Million","856"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","Border","Euro Million","50"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","West","Euro Million","72"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","Mid West","Euro Million","56"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","South East","Euro Million","47"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","South West","Euro Million","87"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","Dublin","Euro Million","433"
"Total Expenditure on In-House Research and Development","2020","Irish ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2020","Irish ownership","Midlands","Euro Million",""
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","Ireland","Euro Million","4588"
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","Border","Euro Million","97"
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","West","Euro Million","381"
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","Mid West","Euro Million","452"
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","South East","Euro Million","90"
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","South West","Euro Million","361"
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","Dublin","Euro Million","2236"
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2020","Foreign ownership","Midlands","Euro Million",""
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","Ireland","Euro Million","6221"
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","Border","Euro Million","117"
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","West","Euro Million","550"
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","Mid West","Euro Million","577"
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","South East","Euro Million","153"
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","South West","Euro Million","602"
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","Dublin","Euro Million","2900"
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2021","All Enterprise ownership","Midlands","Euro Million",""
"Total Expenditure on In-House Research and Development","2021","Irish ownership","Ireland","Euro Million","963"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","Border","Euro Million","60"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","West","Euro Million","94"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","Mid West","Euro Million","59"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","South East","Euro Million","49"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","South West","Euro Million","93"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","Dublin","Euro Million","493"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","Mid East","Euro Million","96"
"Total Expenditure on In-House Research and Development","2021","Irish ownership","Midlands","Euro Million","19"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","Ireland","Euro Million","5258"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","Border","Euro Million","57"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","West","Euro Million","456"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","Mid West","Euro Million","517"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","South East","Euro Million","104"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","South West","Euro Million","509"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","Dublin","Euro Million","2408"
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2021","Foreign ownership","Midlands","Euro Million",""
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","Ireland","Euro Million","8220"
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","Border","Euro Million","131"
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","West","Euro Million","655"
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","Mid West","Euro Million","651"
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","South East","Euro Million","162"
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","South West","Euro Million","640"
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","Dublin","Euro Million","3203"
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2022","All Enterprise ownership","Midlands","Euro Million",""
"Total Expenditure on In-House Research and Development","2022","Irish ownership","Ireland","Euro Million","1088"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","Border","Euro Million","66"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","West","Euro Million","110"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","Mid West","Euro Million","66"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","South East","Euro Million","53"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","South West","Euro Million","105"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","Dublin","Euro Million","545"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","Mid East","Euro Million","121"
"Total Expenditure on In-House Research and Development","2022","Irish ownership","Midlands","Euro Million","21"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","Ireland","Euro Million","7132"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","Border","Euro Million","65"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","West","Euro Million","545"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","Mid West","Euro Million","585"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","South East","Euro Million","109"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","South West","Euro Million","535"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","Dublin","Euro Million","2658"
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2022","Foreign ownership","Midlands","Euro Million",""
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","Ireland","Euro Million","10208"
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","Border","Euro Million","147"
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","West","Euro Million","728"
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","Mid West","Euro Million","722"
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","South East","Euro Million","156"
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","South West","Euro Million","641"
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","Dublin","Euro Million","3444"
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2023","All Enterprise ownership","Midlands","Euro Million",""
"Total Expenditure on In-House Research and Development","2023","Irish ownership","Ireland","Euro Million","1213"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","Border","Euro Million","78"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","West","Euro Million","132"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","Mid West","Euro Million","68"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","South East","Euro Million","50"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","South West","Euro Million","110"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","Dublin","Euro Million","612"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","Mid East","Euro Million","138"
"Total Expenditure on In-House Research and Development","2023","Irish ownership","Midlands","Euro Million","25"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","Ireland","Euro Million","8994"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","Border","Euro Million","69"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","West","Euro Million","596"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","Mid West","Euro Million","654"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","South East","Euro Million","106"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","South West","Euro Million","531"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","Dublin","Euro Million","2833"
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","Mid East","Euro Million",""
"Total Expenditure on In-House Research and Development","2023","Foreign ownership","Midlands","Euro Million",""
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","Ireland","Person","11675"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","Border","Person","349"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","West","Person","1452"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","Mid West","Person","1174"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","South East","Person","310"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","South West","Person","1102"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","Dublin","Person","5289"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","Mid East","Person","635"
"Total Number of Persons Employed on In-House Research and Development","2000","All Enterprise ownership","Midlands","Person","1365"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","Ireland","Person","4575"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","Border","Person","290"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","West","Person","388"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","Mid West","Person","340"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","South West","Person","487"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","Dublin","Person","2299"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","Mid East","Person","454"
"Total Number of Persons Employed on In-House Research and Development","2000","Irish ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","Ireland","Person","7101"
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","Border","Person","58"
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","West","Person","1063"
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","Mid West","Person","834"
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","South West","Person","614"
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","Dublin","Person","2990"
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","Mid East","Person","181"
"Total Number of Persons Employed on In-House Research and Development","2000","Foreign ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","Ireland","Person","14701"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","Border","Person","455"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","West","Person","1531"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","Mid West","Person","1353"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","South East","Person","545"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","South West","Person","1399"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","Dublin","Person","7278"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","Mid East","Person","966"
"Total Number of Persons Employed on In-House Research and Development","2001","All Enterprise ownership","Midlands","Person","1173"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","Ireland","Person","6529"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","Border","Person","387"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","West","Person","401"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","Mid West","Person","404"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","South West","Person","657"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","Dublin","Person","3607"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","Mid East","Person","603"
"Total Number of Persons Employed on In-House Research and Development","2001","Irish ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","Ireland","Person","8172"
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","Border","Person","68"
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","West","Person","1130"
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","Mid West","Person","949"
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","South West","Person","742"
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","Dublin","Person","3671"
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","Mid East","Person","363"
"Total Number of Persons Employed on In-House Research and Development","2001","Foreign ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","Ireland","Person","13692"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","Border","Person","412"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","West","Person","1432"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","Mid West","Person","1432"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","South East","Person","583"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","South West","Person","1617"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","Dublin","Person","6292"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","Mid East","Person","881"
"Total Number of Persons Employed on In-House Research and Development","2002","All Enterprise ownership","Midlands","Person","1041"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","Ireland","Person","5667"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","Border","Person","326"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","West","Person","367"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","Mid West","Person","466"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","South West","Person","600"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","Dublin","Person","2969"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","Mid East","Person","480"
"Total Number of Persons Employed on In-House Research and Development","2002","Irish ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","Ireland","Person","8025"
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","Border","Person","86"
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","West","Person","1065"
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","Mid West","Person","966"
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","South West","Person","1017"
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","Dublin","Person","3323"
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","Mid East","Person","401"
"Total Number of Persons Employed on In-House Research and Development","2002","Foreign ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","Ireland","Person","12187"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","Border","Person","456"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","West","Person","1262"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","Mid West","Person","1448"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","South East","Person","599"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","South West","Person","1399"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","Dublin","Person","5144"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","Mid East","Person","826"
"Total Number of Persons Employed on In-House Research and Development","2003","All Enterprise ownership","Midlands","Person","1054"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","Ireland","Person","5276"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","Border","Person","346"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","West","Person","435"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","Mid West","Person","465"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","South West","Person","584"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","Dublin","Person","2496"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","Mid East","Person","480"
"Total Number of Persons Employed on In-House Research and Development","2003","Irish ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","Ireland","Person","6911"
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","Border","Person","111"
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","West","Person","827"
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","Mid West","Person","983"
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","South West","Person","815"
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","Dublin","Person","2648"
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","Mid East","Person","346"
"Total Number of Persons Employed on In-House Research and Development","2003","Foreign ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","Ireland","Person","12204"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","Border","Person","526"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","West","Person","1205"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","Mid West","Person","1521"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","South East","Person","595"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","South West","Person","1541"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","Dublin","Person","4904"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","Mid East","Person","905"
"Total Number of Persons Employed on In-House Research and Development","2004","All Enterprise ownership","Midlands","Person","1009"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","Ireland","Person","5341"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","Border","Person","443"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","West","Person","414"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","Mid West","Person","458"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","South West","Person","594"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","Dublin","Person","2453"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","Mid East","Person","514"
"Total Number of Persons Employed on In-House Research and Development","2004","Irish ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","Ireland","Person","6864"
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","Border","Person","82"
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","West","Person","791"
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","Mid West","Person","1063"
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","South East","Person",""
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","South West","Person","947"
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","Dublin","Person","2450"
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","Mid East","Person","391"
"Total Number of Persons Employed on In-House Research and Development","2004","Foreign ownership","Midlands","Person",""
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","Ireland","Person","14350"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","Border","Person","642"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","West","Person","1329"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","Mid West","Person","1642"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","South East","Person","606"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","South West","Person","1799"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","Dublin","Person","6164"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","Mid East","Person","990"
"Total Number of Persons Employed on In-House Research and Development","2005","All Enterprise ownership","Midlands","Person","1179"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","Ireland","Person","6162"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","Border","Person","567"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","West","Person","418"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","Mid West","Person","479"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","South East","Person","357"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","South West","Person","789"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","Dublin","Person","2821"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","Mid East","Person","545"
"Total Number of Persons Employed on In-House Research and Development","2005","Irish ownership","Midlands","Person","186"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","Ireland","Person","8188"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","Border","Person","76"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","West","Person","911"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","Mid West","Person","1163"
